Title,Status,Deadline,Date_of_Sanction,Location,Fund_Allocated
Construction of Community Hall,In Progress,2026-03-31,2025-10-01,Shirur GP,
hall construction,In Progress,2025-12-30,,,450000.0
hostel building,Assigned to EA,2027-05-01,,Karnataka,500000.0
road construction,In Progress,2025-12-01,,bhimavaram,1.99
Water Tank,Assigned to IA,2025-12-02,,tenali,5600000.0
electricity,In Progress,2025-12-31,,bengaluru urban,500000.0
hostel repairs,In Progress,2025-12-30,,namma bengaluru,650000.0
Nangloi Jat ,In Progress,2025-12-24,,ghaziabad,25000000.0
library construction,Assigned to IA,2026-01-21,,kashmir ,5000000.0
bridge,Assigned to EA,2026-01-06,,bhimavaram,40.0
bridge construction,Assigned to IA,2026-05-28,,jammu,50000000.0
highway construction,Assigned to IA,2026-04-29,,bengaluru urban,23000000.0
university hostels,Assigned to IA,2026-04-15,,bhimavaram,50000000.0
bridge construction,Assigned to IA,2025-12-09,,Tanuku,1.99
hostel contucting ,Assigned to IA,2026-01-09,,Karnataka,4.0
Water Tank,Assigned to EA,,,Andhra Pradesh,
West Godavari SC Youth Skill Samriddhi ,Assigned to EA,,,Andhra Pradesh,
